Bana,Namn,Förening,Klass,Gren,S1,S2,S3,S4,S5,S6,Tot,Anm
6,,,,,,,,,,,,
7,,,,,,,,,,,,
8,,,,,,,,,,,,
9,,,,,,,,,,,,
10,Emil Ala-Kulju,Nyköpings SKG,Herr,Liggande,99.8,97.0,102.3,102.2,99.3,100.6,601.2,
11,Alexander Devell,Nyköpings SKG,HJ,Liggande,98.5,101.7,99.3,99.0,96.3,99.8,594.6,
12,,,,,,,,,,,,
13,,,,,,,,,,,,
14,,,,,,,,,,,,
15,,,,,,,,,,,,
16,,,,,,,,,,,,
17,,,,,,,,,,,,
18,,,,,,,,,,,,
19,,,,,,,,,,,,
20,,,,,,,,,,,,
